## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[/tmp//SSDSpl_tmp_30175299134/KB_addRG_82538587399/IgG_SSDS_CHSdemo.chstestgenome.dsDNA.RG.sorted.bam] OUTPUT=/home/kevbrick/data/SSDS_Pipeline/callPeaks/git/unitTest/output/treatment/IgG_SSDS_CHSdemo.chstestgenome.dsDNA.final.bam METRICS_FILE=/home/kevbrick/data/SSDS_Pipeline/callPeaks/git/unitTest/output/treatment/IgG_SSDS_CHSdemo.chstestgenome.dsDNA.MDmetrics.tab ASSUME_SORTED=true TMP_DIR=[/tmp/SSDSpl_tmp_30175299134] VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jun 05 15:00:04 EDT 2017

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
control	0	26828	0	0	0	9420	55	0.351126	28697

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.001236
2.0	1.394357
3.0	1.548711
4.0	1.609316
5.0	1.633112
6.0	1.642455
7.0	1.646123
8.0	1.647564
9.0	1.648129
10.0	1.648351
11.0	1.648439
12.0	1.648473
13.0	1.648486
14.0	1.648492
15.0	1.648494
16.0	1.648494
17.0	1.648495
18.0	1.648495
19.0	1.648495
20.0	1.648495
21.0	1.648495
22.0	1.648495
23.0	1.648495
24.0	1.648495
25.0	1.648495
26.0	1.648495
27.0	1.648495
28.0	1.648495
29.0	1.648495
30.0	1.648495
31.0	1.648495
32.0	1.648495
33.0	1.648495
34.0	1.648495
35.0	1.648495
36.0	1.648495
37.0	1.648495
38.0	1.648495
39.0	1.648495
40.0	1.648495
41.0	1.648495
42.0	1.648495
43.0	1.648495
44.0	1.648495
45.0	1.648495
46.0	1.648495
47.0	1.648495
48.0	1.648495
49.0	1.648495
50.0	1.648495
51.0	1.648495
52.0	1.648495
53.0	1.648495
54.0	1.648495
55.0	1.648495
56.0	1.648495
57.0	1.648495
58.0	1.648495
59.0	1.648495
60.0	1.648495
61.0	1.648495
62.0	1.648495
63.0	1.648495
64.0	1.648495
65.0	1.648495
66.0	1.648495
67.0	1.648495
68.0	1.648495
69.0	1.648495
70.0	1.648495
71.0	1.648495
72.0	1.648495
73.0	1.648495
74.0	1.648495
75.0	1.648495
76.0	1.648495
77.0	1.648495
78.0	1.648495
79.0	1.648495
80.0	1.648495
81.0	1.648495
82.0	1.648495
83.0	1.648495
84.0	1.648495
85.0	1.648495
86.0	1.648495
87.0	1.648495
88.0	1.648495
89.0	1.648495
90.0	1.648495
91.0	1.648495
92.0	1.648495
93.0	1.648495
94.0	1.648495
95.0	1.648495
96.0	1.648495
97.0	1.648495
98.0	1.648495
99.0	1.648495
100.0	1.648495

