## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[/tmp//SSDSpl_tmp_30175299134/KB_addRG_21892314836/IgG_SSDS_CHSdemo.chstestgenome.dsDNA_strict.RG.sorted.bam] OUTPUT=/home/kevbrick/data/SSDS_Pipeline/callPeaks/git/unitTest/output/treatment/IgG_SSDS_CHSdemo.chstestgenome.dsDNA_strict.final.bam METRICS_FILE=/home/kevbrick/data/SSDS_Pipeline/callPeaks/git/unitTest/output/treatment/IgG_SSDS_CHSdemo.chstestgenome.dsDNA_strict.MDmetrics.tab ASSUME_SORTED=true TMP_DIR=[/tmp/SSDSpl_tmp_30175299134] VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jun 05 15:00:17 EDT 2017

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
control	0	15588	0	0	0	5461	25	0.350334	16714

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000964
2.0	1.39486
3.0	1.549865
4.0	1.610861
5.0	1.634865
6.0	1.644311
7.0	1.648028
8.0	1.64949
9.0	1.650066
10.0	1.650292
11.0	1.650382
12.0	1.650417
13.0	1.65043
14.0	1.650436
15.0	1.650438
16.0	1.650439
17.0	1.650439
18.0	1.650439
19.0	1.650439
20.0	1.650439
21.0	1.650439
22.0	1.650439
23.0	1.650439
24.0	1.650439
25.0	1.650439
26.0	1.650439
27.0	1.650439
28.0	1.650439
29.0	1.650439
30.0	1.650439
31.0	1.650439
32.0	1.650439
33.0	1.650439
34.0	1.650439
35.0	1.650439
36.0	1.650439
37.0	1.650439
38.0	1.650439
39.0	1.650439
40.0	1.650439
41.0	1.650439
42.0	1.650439
43.0	1.650439
44.0	1.650439
45.0	1.650439
46.0	1.650439
47.0	1.650439
48.0	1.650439
49.0	1.650439
50.0	1.650439
51.0	1.650439
52.0	1.650439
53.0	1.650439
54.0	1.650439
55.0	1.650439
56.0	1.650439
57.0	1.650439
58.0	1.650439
59.0	1.650439
60.0	1.650439
61.0	1.650439
62.0	1.650439
63.0	1.650439
64.0	1.650439
65.0	1.650439
66.0	1.650439
67.0	1.650439
68.0	1.650439
69.0	1.650439
70.0	1.650439
71.0	1.650439
72.0	1.650439
73.0	1.650439
74.0	1.650439
75.0	1.650439
76.0	1.650439
77.0	1.650439
78.0	1.650439
79.0	1.650439
80.0	1.650439
81.0	1.650439
82.0	1.650439
83.0	1.650439
84.0	1.650439
85.0	1.650439
86.0	1.650439
87.0	1.650439
88.0	1.650439
89.0	1.650439
90.0	1.650439
91.0	1.650439
92.0	1.650439
93.0	1.650439
94.0	1.650439
95.0	1.650439
96.0	1.650439
97.0	1.650439
98.0	1.650439
99.0	1.650439
100.0	1.650439

