## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[/tmp//SSDSpl_tmp_30175299134/KB_addRG_54584414846/IgG_SSDS_CHSdemo.chstestgenome.ssDNA_type1.RG.sorted.bam] OUTPUT=/home/kevbrick/data/SSDS_Pipeline/callPeaks/git/unitTest/output/treatment/IgG_SSDS_CHSdemo.chstestgenome.ssDNA_type1.final.bam METRICS_FILE=/home/kevbrick/data/SSDS_Pipeline/callPeaks/git/unitTest/output/treatment/IgG_SSDS_CHSdemo.chstestgenome.ssDNA_type1.MDmetrics.tab ASSUME_SORTED=true TMP_DIR=[/tmp/SSDSpl_tmp_30175299134] VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jun 05 14:59:09 EDT 2017

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
control	0	213685	0	0	0	92554	100	0.433133	168683

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.00023
2.0	1.282031
3.0	1.361425
4.0	1.383793
5.0	1.390095
6.0	1.39187
7.0	1.392371
8.0	1.392511
9.0	1.392551
10.0	1.392562
11.0	1.392565
12.0	1.392566
13.0	1.392567
14.0	1.392567
15.0	1.392567
16.0	1.392567
17.0	1.392567
18.0	1.392567
19.0	1.392567
20.0	1.392567
21.0	1.392567
22.0	1.392567
23.0	1.392567
24.0	1.392567
25.0	1.392567
26.0	1.392567
27.0	1.392567
28.0	1.392567
29.0	1.392567
30.0	1.392567
31.0	1.392567
32.0	1.392567
33.0	1.392567
34.0	1.392567
35.0	1.392567
36.0	1.392567
37.0	1.392567
38.0	1.392567
39.0	1.392567
40.0	1.392567
41.0	1.392567
42.0	1.392567
43.0	1.392567
44.0	1.392567
45.0	1.392567
46.0	1.392567
47.0	1.392567
48.0	1.392567
49.0	1.392567
50.0	1.392567
51.0	1.392567
52.0	1.392567
53.0	1.392567
54.0	1.392567
55.0	1.392567
56.0	1.392567
57.0	1.392567
58.0	1.392567
59.0	1.392567
60.0	1.392567
61.0	1.392567
62.0	1.392567
63.0	1.392567
64.0	1.392567
65.0	1.392567
66.0	1.392567
67.0	1.392567
68.0	1.392567
69.0	1.392567
70.0	1.392567
71.0	1.392567
72.0	1.392567
73.0	1.392567
74.0	1.392567
75.0	1.392567
76.0	1.392567
77.0	1.392567
78.0	1.392567
79.0	1.392567
80.0	1.392567
81.0	1.392567
82.0	1.392567
83.0	1.392567
84.0	1.392567
85.0	1.392567
86.0	1.392567
87.0	1.392567
88.0	1.392567
89.0	1.392567
90.0	1.392567
91.0	1.392567
92.0	1.392567
93.0	1.392567
94.0	1.392567
95.0	1.392567
96.0	1.392567
97.0	1.392567
98.0	1.392567
99.0	1.392567
100.0	1.392567

