## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[/tmp//SSDSpl_tmp_30175299134/KB_addRG_14883514562/IgG_SSDS_CHSdemo.chstestgenome.unclassified.RG.sorted.bam] OUTPUT=/home/kevbrick/data/SSDS_Pipeline/callPeaks/git/unitTest/output/treatment/IgG_SSDS_CHSdemo.chstestgenome.unclassified.final.bam METRICS_FILE=/home/kevbrick/data/SSDS_Pipeline/callPeaks/git/unitTest/output/treatment/IgG_SSDS_CHSdemo.chstestgenome.unclassified.MDmetrics.tab ASSUME_SORTED=true TMP_DIR=[/tmp/SSDSpl_tmp_30175299134] VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jun 05 15:00:33 EDT 2017

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
control	0	22656	0	0	0	9793	22	0.432248	17949

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000474
2.0	1.283627
3.0	1.363765
4.0	1.386445
5.0	1.392864
6.0	1.394681
7.0	1.395195
8.0	1.39534
9.0	1.395381
10.0	1.395393
11.0	1.395396
12.0	1.395397
13.0	1.395398
14.0	1.395398
15.0	1.395398
16.0	1.395398
17.0	1.395398
18.0	1.395398
19.0	1.395398
20.0	1.395398
21.0	1.395398
22.0	1.395398
23.0	1.395398
24.0	1.395398
25.0	1.395398
26.0	1.395398
27.0	1.395398
28.0	1.395398
29.0	1.395398
30.0	1.395398
31.0	1.395398
32.0	1.395398
33.0	1.395398
34.0	1.395398
35.0	1.395398
36.0	1.395398
37.0	1.395398
38.0	1.395398
39.0	1.395398
40.0	1.395398
41.0	1.395398
42.0	1.395398
43.0	1.395398
44.0	1.395398
45.0	1.395398
46.0	1.395398
47.0	1.395398
48.0	1.395398
49.0	1.395398
50.0	1.395398
51.0	1.395398
52.0	1.395398
53.0	1.395398
54.0	1.395398
55.0	1.395398
56.0	1.395398
57.0	1.395398
58.0	1.395398
59.0	1.395398
60.0	1.395398
61.0	1.395398
62.0	1.395398
63.0	1.395398
64.0	1.395398
65.0	1.395398
66.0	1.395398
67.0	1.395398
68.0	1.395398
69.0	1.395398
70.0	1.395398
71.0	1.395398
72.0	1.395398
73.0	1.395398
74.0	1.395398
75.0	1.395398
76.0	1.395398
77.0	1.395398
78.0	1.395398
79.0	1.395398
80.0	1.395398
81.0	1.395398
82.0	1.395398
83.0	1.395398
84.0	1.395398
85.0	1.395398
86.0	1.395398
87.0	1.395398
88.0	1.395398
89.0	1.395398
90.0	1.395398
91.0	1.395398
92.0	1.395398
93.0	1.395398
94.0	1.395398
95.0	1.395398
96.0	1.395398
97.0	1.395398
98.0	1.395398
99.0	1.395398
100.0	1.395398

