## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[/tmp//SSDSpl_tmp_28151053639/KB_addRG_99799358970/dmc1SSDS_CHSdemo.chstestgenome.dsDNA.RG.sorted.bam] OUTPUT=/home/kevbrick/data/SSDS_Pipeline/callPeaks/git/unitTest/output/treatment/dmc1SSDS_CHSdemo.chstestgenome.dsDNA.final.bam METRICS_FILE=/home/kevbrick/data/SSDS_Pipeline/callPeaks/git/unitTest/output/treatment/dmc1SSDS_CHSdemo.chstestgenome.dsDNA.MDmetrics.tab ASSUME_SORTED=true TMP_DIR=[/tmp/SSDSpl_tmp_28151053639] VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jun 05 14:34:26 EDT 2017

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
treatment	0	10379	0	0	0	1280	0	0.123326	38543

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	0.999998
2.0	1.763923
3.0	2.347505
4.0	2.793319
5.0	3.133888
6.0	3.394058
7.0	3.592809
8.0	3.74464
9.0	3.860627
10.0	3.949234
11.0	4.016922
12.0	4.068631
13.0	4.108133
14.0	4.13831
15.0	4.161362
16.0	4.178973
17.0	4.192426
18.0	4.202703
19.0	4.210554
20.0	4.216552
21.0	4.221134
22.0	4.224634
23.0	4.227308
24.0	4.22935
25.0	4.230911
26.0	4.232103
27.0	4.233013
28.0	4.233709
29.0	4.23424
30.0	4.234646
31.0	4.234956
32.0	4.235193
33.0	4.235374
34.0	4.235513
35.0	4.235618
36.0	4.235699
37.0	4.235761
38.0	4.235808
39.0	4.235844
40.0	4.235871
41.0	4.235892
42.0	4.235908
43.0	4.23592
44.0	4.23593
45.0	4.235937
46.0	4.235942
47.0	4.235946
48.0	4.23595
49.0	4.235952
50.0	4.235954
51.0	4.235955
52.0	4.235956
53.0	4.235957
54.0	4.235958
55.0	4.235958
56.0	4.235959
57.0	4.235959
58.0	4.235959
59.0	4.235959
60.0	4.23596
61.0	4.23596
62.0	4.23596
63.0	4.23596
64.0	4.23596
65.0	4.23596
66.0	4.23596
67.0	4.23596
68.0	4.23596
69.0	4.23596
70.0	4.23596
71.0	4.23596
72.0	4.23596
73.0	4.23596
74.0	4.23596
75.0	4.23596
76.0	4.23596
77.0	4.23596
78.0	4.23596
79.0	4.23596
80.0	4.23596
81.0	4.23596
82.0	4.23596
83.0	4.23596
84.0	4.23596
85.0	4.23596
86.0	4.23596
87.0	4.23596
88.0	4.23596
89.0	4.23596
90.0	4.23596
91.0	4.23596
92.0	4.23596
93.0	4.23596
94.0	4.23596
95.0	4.23596
96.0	4.23596
97.0	4.23596
98.0	4.23596
99.0	4.23596
100.0	4.23596

