## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[/tmp//SSDSpl_tmp_28151053639/KB_addRG_11064566870/dmc1SSDS_CHSdemo.chstestgenome.dsDNA_strict.RG.sorted.bam] OUTPUT=/home/kevbrick/data/SSDS_Pipeline/callPeaks/git/unitTest/output/treatment/dmc1SSDS_CHSdemo.chstestgenome.dsDNA_strict.final.bam METRICS_FILE=/home/kevbrick/data/SSDS_Pipeline/callPeaks/git/unitTest/output/treatment/dmc1SSDS_CHSdemo.chstestgenome.dsDNA_strict.MDmetrics.tab ASSUME_SORTED=true TMP_DIR=[/tmp/SSDSpl_tmp_28151053639] VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jun 05 14:34:37 EDT 2017

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
treatment	0	6033	0	0	0	500	0	0.082878	34357

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1
2.0	1.838956
3.0	2.542802
4.0	3.133298
5.0	3.628698
6.0	4.044317
7.0	4.393003
8.0	4.685535
9.0	4.930956
10.0	5.136853
11.0	5.309592
12.0	5.454512
13.0	5.576094
14.0	5.678096
15.0	5.763671
16.0	5.835464
17.0	5.895696
18.0	5.946227
19.0	5.988621
20.0	6.024188
21.0	6.054026
22.0	6.07906
23.0	6.100062
24.0	6.117681
25.0	6.132463
26.0	6.144865
27.0	6.155269
28.0	6.163998
29.0	6.171321
30.0	6.177465
31.0	6.182619
32.0	6.186943
33.0	6.190571
34.0	6.193615
35.0	6.196168
36.0	6.198311
37.0	6.200108
38.0	6.201616
39.0	6.202881
40.0	6.203942
41.0	6.204832
42.0	6.205579
43.0	6.206206
44.0	6.206732
45.0	6.207173
46.0	6.207543
47.0	6.207853
48.0	6.208114
49.0	6.208332
50.0	6.208515
51.0	6.208669
52.0	6.208798
53.0	6.208907
54.0	6.208997
55.0	6.209074
56.0	6.209137
57.0	6.209191
58.0	6.209236
59.0	6.209274
60.0	6.209305
61.0	6.209332
62.0	6.209354
63.0	6.209373
64.0	6.209389
65.0	6.209402
66.0	6.209413
67.0	6.209422
68.0	6.20943
69.0	6.209436
70.0	6.209442
71.0	6.209447
72.0	6.20945
73.0	6.209454
74.0	6.209456
75.0	6.209459
76.0	6.209461
77.0	6.209462
78.0	6.209463
79.0	6.209465
80.0	6.209466
81.0	6.209466
82.0	6.209467
83.0	6.209468
84.0	6.209468
85.0	6.209468
86.0	6.209469
87.0	6.209469
88.0	6.209469
89.0	6.209469
90.0	6.20947
91.0	6.20947
92.0	6.20947
93.0	6.20947
94.0	6.20947
95.0	6.20947
96.0	6.20947
97.0	6.20947
98.0	6.20947
99.0	6.20947
100.0	6.20947

