## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[/tmp//SSDSpl_tmp_28151053639/KB_addRG_81767634399/dmc1SSDS_CHSdemo.chstestgenome.ssDNA_type2.RG.sorted.bam] OUTPUT=/home/kevbrick/data/SSDS_Pipeline/callPeaks/git/unitTest/output/treatment/dmc1SSDS_CHSdemo.chstestgenome.ssDNA_type2.final.bam METRICS_FILE=/home/kevbrick/data/SSDS_Pipeline/callPeaks/git/unitTest/output/treatment/dmc1SSDS_CHSdemo.chstestgenome.ssDNA_type2.MDmetrics.tab ASSUME_SORTED=true TMP_DIR=[/tmp/SSDSpl_tmp_28151053639] VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jun 05 14:34:14 EDT 2017

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
treatment	0	14456	0	0	0	7280	0	0.503597	8961

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	0.999938
2.0	1.199172
3.0	1.238868
4.0	1.246778
5.0	1.248354
6.0	1.248668
7.0	1.24873
8.0	1.248743
9.0	1.248745
10.0	1.248746
11.0	1.248746
12.0	1.248746
13.0	1.248746
14.0	1.248746
15.0	1.248746
16.0	1.248746
17.0	1.248746
18.0	1.248746
19.0	1.248746
20.0	1.248746
21.0	1.248746
22.0	1.248746
23.0	1.248746
24.0	1.248746
25.0	1.248746
26.0	1.248746
27.0	1.248746
28.0	1.248746
29.0	1.248746
30.0	1.248746
31.0	1.248746
32.0	1.248746
33.0	1.248746
34.0	1.248746
35.0	1.248746
36.0	1.248746
37.0	1.248746
38.0	1.248746
39.0	1.248746
40.0	1.248746
41.0	1.248746
42.0	1.248746
43.0	1.248746
44.0	1.248746
45.0	1.248746
46.0	1.248746
47.0	1.248746
48.0	1.248746
49.0	1.248746
50.0	1.248746
51.0	1.248746
52.0	1.248746
53.0	1.248746
54.0	1.248746
55.0	1.248746
56.0	1.248746
57.0	1.248746
58.0	1.248746
59.0	1.248746
60.0	1.248746
61.0	1.248746
62.0	1.248746
63.0	1.248746
64.0	1.248746
65.0	1.248746
66.0	1.248746
67.0	1.248746
68.0	1.248746
69.0	1.248746
70.0	1.248746
71.0	1.248746
72.0	1.248746
73.0	1.248746
74.0	1.248746
75.0	1.248746
76.0	1.248746
77.0	1.248746
78.0	1.248746
79.0	1.248746
80.0	1.248746
81.0	1.248746
82.0	1.248746
83.0	1.248746
84.0	1.248746
85.0	1.248746
86.0	1.248746
87.0	1.248746
88.0	1.248746
89.0	1.248746
90.0	1.248746
91.0	1.248746
92.0	1.248746
93.0	1.248746
94.0	1.248746
95.0	1.248746
96.0	1.248746
97.0	1.248746
98.0	1.248746
99.0	1.248746
100.0	1.248746

